node_id,journal_name
journal_Annals of nutrition & metabolism,Annals of nutrition & metabolism
journal_Nutrition and metabolic insights,Nutrition and metabolic insights
journal_Medical science monitor : international medical journal of experimental and clinical research,Medical science monitor : international medical journal of experimental and clinical research
journal_Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology
journal_Cancer cell international,Cancer cell international
journal_Journal of virology,Journal of virology
journal_Doklady. Biochemistry and biophysics,Doklady. Biochemistry and biophysics
journal_BMC psychology,BMC psychology
journal_European journal of medicinal chemistry,European journal of medicinal chemistry
journal_The Journal of nutrition,The Journal of nutrition
journal_Injury,Injury
journal_The Journal of hospital infection,The Journal of hospital infection
journal_Journal of pharmacological sciences,Journal of pharmacological sciences
"journal_BMC sports science, medicine & rehabilitation","BMC sports science, medicine & rehabilitation"
journal_Journal of the Society for Cardiovascular Angiography & Interventions,Journal of the Society for Cardiovascular Angiography & Interventions
journal_Pesticide biochemistry and physiology,Pesticide biochemistry and physiology
journal_Mikrochimica acta,Mikrochimica acta
journal_International archives of allergy and immunology,International archives of allergy and immunology
journal_Ophthalmology science,Ophthalmology science
journal_Nature aging,Nature aging
journal_British journal of haematology,British journal of haematology
journal_Medicine international,Medicine international
journal_BBA advances,BBA advances
journal_Medical review (2021),Medical review (2021)
journal_Microbial pathogenesis,Microbial pathogenesis
journal_Journal of microbiological methods,Journal of microbiological methods
journal_Molecular plant,Molecular plant
journal_Advances in protein chemistry and structural biology,Advances in protein chemistry and structural biology
journal_Frontiers in nuclear medicine,Frontiers in nuclear medicine
journal_Frontiers in cardiovascular medicine,Frontiers in cardiovascular medicine
journal_Journal of personalized medicine,Journal of personalized medicine
journal_Aging,Aging
journal_Mediterranean journal of rheumatology,Mediterranean journal of rheumatology
journal_Animal : an international journal of animal bioscience,Animal : an international journal of animal bioscience
"journal_International journal of radiation oncology, biology, physics","International journal of radiation oncology, biology, physics"
journal_BMJ global health,BMJ global health
journal_Human reproduction open,Human reproduction open
journal_Current issues in molecular biology,Current issues in molecular biology
journal_Stem cells international,Stem cells international
journal_Infection & chemotherapy,Infection & chemotherapy
journal_Frontiers in insect science,Frontiers in insect science
journal_Molecular cell,Molecular cell
journal_Nutrients,Nutrients
journal_Spanish journal of psychiatry and mental health,Spanish journal of psychiatry and mental health
journal_Biology,Biology
journal_Frontiers in cellular neuroscience,Frontiers in cellular neuroscience
journal_Reports of biochemistry & molecular biology,Reports of biochemistry & molecular biology
journal_Electrochimica acta,Electrochimica acta
journal_Toxicon : official journal of the International Society on Toxinology,Toxicon : official journal of the International Society on Toxinology
journal_Methods in cell biology,Methods in cell biology
"journal_Brain, behavior, and immunity","Brain, behavior, and immunity"
journal_Journal of the Endocrine Society,Journal of the Endocrine Society
journal_ACS applied bio materials,ACS applied bio materials
journal_Journal of translational medicine,Journal of translational medicine
journal_Journal of proteomics,Journal of proteomics
journal_Health affairs scholar,Health affairs scholar
journal_Journal of gynecology obstetrics and human reproduction,Journal of gynecology obstetrics and human reproduction
journal_Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India
journal_Journal of the American College of Nutrition,Journal of the American College of Nutrition
journal_Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners
journal_Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_Frontiers in epidemiology,Frontiers in epidemiology
journal_EClinicalMedicine,EClinicalMedicine
"journal_Development (Cambridge, England)","Development (Cambridge, England)"
"journal_Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia","Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia"
journal_Molecular biotechnology,Molecular biotechnology
journal_IJID regions,IJID regions
journal_Clinical psychology in Europe,Clinical psychology in Europe
journal_Frontiers in allergy,Frontiers in allergy
journal_Chemical & biomedical imaging,Chemical & biomedical imaging
journal_The Malaysian journal of pathology,The Malaysian journal of pathology
"journal_Dalton transactions (Cambridge, England : 2003)","Dalton transactions (Cambridge, England : 2003)"
journal_Occupational therapy international,Occupational therapy international
journal_American journal of obstetrics and gynecology,American journal of obstetrics and gynecology
"journal_Pathologie (Heidelberg, Germany)","Pathologie (Heidelberg, Germany)"
journal_Infectious agents and cancer,Infectious agents and cancer
journal_Molecular biology reports,Molecular biology reports
journal_Journal of computational chemistry,Journal of computational chemistry
journal_Journal of medical virology,Journal of medical virology
"journal_Life (Basel, Switzerland)","Life (Basel, Switzerland)"
journal_Biochemical genetics,Biochemical genetics
journal_PNAS nexus,PNAS nexus
journal_Gastro hep advances,Gastro hep advances
"journal_Small (Weinheim an der Bergstrasse, Germany)","Small (Weinheim an der Bergstrasse, Germany)"
journal_International journal of nanomedicine,International journal of nanomedicine
"journal_Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada","Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada"
journal_Neurotoxicity research,Neurotoxicity research
journal_Journal of mother and child,Journal of mother and child
journal_Archives of Iranian medicine,Archives of Iranian medicine
journal_ARYA atherosclerosis,ARYA atherosclerosis
journal_Sustainable cities and society,Sustainable cities and society
journal_Physiology and molecular biology of plants : an international journal of functional plant biology,Physiology and molecular biology of plants : an international journal of functional plant biology
journal_Acta cardiologica,Acta cardiologica
"journal_Foods (Basel, Switzerland)","Foods (Basel, Switzerland)"
journal_Diabetes research and clinical practice,Diabetes research and clinical practice
journal_Immunohematology,Immunohematology
journal_Drug development research,Drug development research
journal_Soil biology & biochemistry,Soil biology & biochemistry
journal_Journal of cancer prevention,Journal of cancer prevention
journal_Molecular metabolism,Molecular metabolism
journal_Advanced nanobiomed research,Advanced nanobiomed research
journal_JB & JS open access,JB & JS open access
journal_Frontiers in aging neuroscience,Frontiers in aging neuroscience
journal_Current biology : CB,Current biology : CB
journal_MethodsX,MethodsX
journal_Journal of clinical and experimental hematopathology : JCEH,Journal of clinical and experimental hematopathology : JCEH
journal_American journal of translational research,American journal of translational research
journal_Fungal biology,Fungal biology
journal_Crohn's & colitis 360,Crohn's & colitis 360
"journal_Journal, physical therapy education","Journal, physical therapy education"
journal_HRB open research,HRB open research
journal_The Veterinary record,The Veterinary record
journal_Plant science : an international journal of experimental plant biology,Plant science : an international journal of experimental plant biology
journal_Practical laboratory medicine,Practical laboratory medicine
"journal_Structural dynamics (Melville, N.Y.)","Structural dynamics (Melville, N.Y.)"
journal_Turk gogus kalp damar cerrahisi dergisi,Turk gogus kalp damar cerrahisi dergisi
journal_Future microbiology,Future microbiology
journal_Bioprocess and biosystems engineering,Bioprocess and biosystems engineering
journal_Environmental microbiology,Environmental microbiology
journal_Cancer medicine,Cancer medicine
"journal_Global challenges (Hoboken, NJ)","Global challenges (Hoboken, NJ)"
journal_Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology
journal_Annals of African medicine,Annals of African medicine
journal_Journal of agricultural and food chemistry,Journal of agricultural and food chemistry
journal_Zhongguo fei ai za zhi = Chinese journal of lung cancer,Zhongguo fei ai za zhi = Chinese journal of lung cancer
journal_Medycyna pracy,Medycyna pracy
journal_Nature protocols,Nature protocols
journal_BMJ open,BMJ open
journal_Georgian medical news,Georgian medical news
journal_Ciencia & saude coletiva,Ciencia & saude coletiva
journal_Life sciences,Life sciences
"journal_Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections","Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections"
journal_Cancer science,Cancer science
journal_BMC neuroscience,BMC neuroscience
journal_Medical & biological engineering & computing,Medical & biological engineering & computing
journal_FASEB journal : official publication of the Federation of American Societies for Experimental Biology,FASEB journal : official publication of the Federation of American Societies for Experimental Biology
journal_Biological trace element research,Biological trace element research
journal_Liver cancer,Liver cancer
journal_Archives of medical sciences. Atherosclerotic diseases,Archives of medical sciences. Atherosclerotic diseases
journal_Frontiers in chemistry,Frontiers in chemistry
journal_ChemistryOpen,ChemistryOpen
"journal_Journal, genetic engineering & biotechnology","Journal, genetic engineering & biotechnology"
journal_Toxicology and applied pharmacology,Toxicology and applied pharmacology
journal_Journal of pediatric gastroenterology and nutrition,Journal of pediatric gastroenterology and nutrition
journal_VideoGIE : an official video journal of the American Society for Gastrointestinal Endoscopy,VideoGIE : an official video journal of the American Society for Gastrointestinal Endoscopy
journal_JHEP reports : innovation in hepatology,JHEP reports : innovation in hepatology
journal_Polski przeglad chirurgiczny,Polski przeglad chirurgiczny
journal_Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology,Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology
journal_Physiotherapy Canada. Physiotherapie Canada,Physiotherapy Canada. Physiotherapie Canada
journal_Neurology,Neurology
journal_Journal of neural engineering,Journal of neural engineering
journal_Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association
"journal_Colloids and surfaces. B, Biointerfaces","Colloids and surfaces. B, Biointerfaces"
journal_Biochimica et biophysica acta. Proteins and proteomics,Biochimica et biophysica acta. Proteins and proteomics
journal_Bioorganic & medicinal chemistry letters,Bioorganic & medicinal chemistry letters
journal_Chemico-biological interactions,Chemico-biological interactions
journal_Balkan journal of medical genetics : BJMG,Balkan journal of medical genetics : BJMG
journal_Anemia,Anemia
"journal_Rheumatology (Oxford, England)","Rheumatology (Oxford, England)"
journal_Advanced functional materials,Advanced functional materials
journal_Nature cardiovascular research,Nature cardiovascular research
journal_Bulletin of the World Health Organization,Bulletin of the World Health Organization
journal_The European journal of neuroscience,The European journal of neuroscience
journal_ArXiv,ArXiv
journal_Asian Pacific journal of cancer prevention : APJCP,Asian Pacific journal of cancer prevention : APJCP
journal_Journal of infection and public health,Journal of infection and public health
journal_Journal of chemical theory and computation,Journal of chemical theory and computation
journal_Neurodegenerative disease management,Neurodegenerative disease management
journal_Cancer innovation,Cancer innovation
journal_Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences
journal_The journal of contemporary dental practice,The journal of contemporary dental practice
journal_Micromachines,Micromachines
journal_Pediatric research,Pediatric research
journal_The New phytologist,The New phytologist
journal_STAR protocols,STAR protocols
journal_RNA biology,RNA biology
journal_Molecular ecology resources,Molecular ecology resources
journal_Kidney international,Kidney international
journal_Microbial ecology,Microbial ecology
journal_American journal of clinical and experimental immunology,American journal of clinical and experimental immunology
journal_Vascular pharmacology,Vascular pharmacology
"journal_Pathobiology : journal of immunopathology, molecular and cellular biology","Pathobiology : journal of immunopathology, molecular and cellular biology"
journal_Bioorganic chemistry,Bioorganic chemistry
journal_Optimization letters,Optimization letters
journal_Acta stomatologica Croatica,Acta stomatologica Croatica
journal_Indian journal of psychological medicine,Indian journal of psychological medicine
journal_Regulatory toxicology and pharmacology : RTP,Regulatory toxicology and pharmacology : RTP
"journal_Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy"
journal_Journal of community genetics,Journal of community genetics
journal_Journal of the American Chemical Society,Journal of the American Chemical Society
"journal_Molecular medicine (Cambridge, Mass.)","Molecular medicine (Cambridge, Mass.)"
journal_BMC biology,BMC biology
journal_JPRAS open,JPRAS open
journal_Frontiers in dementia,Frontiers in dementia
"journal_Breathe (Sheffield, England)","Breathe (Sheffield, England)"
journal_Microbiological research,Microbiological research
journal_Nanoscale advances,Nanoscale advances
journal_Materials today. Bio,Materials today. Bio
journal_JTO clinical and research reports,JTO clinical and research reports
journal_Journal of biomaterials science. Polymer edition,Journal of biomaterials science. Polymer edition
journal_Integrative biology : quantitative biosciences from nano to macro,Integrative biology : quantitative biosciences from nano to macro
journal_Frontiers in applied mathematics and statistics,Frontiers in applied mathematics and statistics
journal_Prosthetics and orthotics international,Prosthetics and orthotics international
journal_Addiction research & theory,Addiction research & theory
journal_Clinical imaging,Clinical imaging
journal_Biotechnology journal,Biotechnology journal
"journal_Kidney diseases (Basel, Switzerland)","Kidney diseases (Basel, Switzerland)"
"journal_Environmental pollution (Barking, Essex : 1987)","Environmental pollution (Barking, Essex : 1987)"
journal_BMC genomics,BMC genomics
journal_International journal of population data science,International journal of population data science
journal_Archives of biochemistry and biophysics,Archives of biochemistry and biophysics
journal_Voprosy pitaniia,Voprosy pitaniia
journal_Indian journal of microbiology,Indian journal of microbiology
journal_Analytical and bioanalytical chemistry,Analytical and bioanalytical chemistry
journal_Brain communications,Brain communications
journal_Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology,Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology
journal_Toxicon: X,Toxicon: X
journal_PCN reports : psychiatry and clinical neurosciences,PCN reports : psychiatry and clinical neurosciences
journal_Trends in cell biology,Trends in cell biology
journal_Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
journal_Molecular syndromology,Molecular syndromology
journal_Journal of conservative dentistry and endodontics,Journal of conservative dentistry and endodontics
"journal_Bioinformatics (Oxford, England)","Bioinformatics (Oxford, England)"
journal_Journal of vascular surgery,Journal of vascular surgery
journal_Journal of oncology,Journal of oncology
journal_Revista espanola de patologia : publicacion oficial de la Sociedad Espanola de Anatomia Patologica y de la Sociedad Espanola de Citologia,Revista espanola de patologia : publicacion oficial de la Sociedad Espanola de Anatomia Patologica y de la Sociedad Espanola de Citologia
journal_Expert review of molecular diagnostics,Expert review of molecular diagnostics
journal_Wellcome open research,Wellcome open research
journal_Molecular neurobiology,Molecular neurobiology
journal_Vox sanguinis,Vox sanguinis
journal_Nature machine intelligence,Nature machine intelligence
journal_Movement disorders clinical practice,Movement disorders clinical practice
journal_The Journal of clinical investigation,The Journal of clinical investigation
"journal_Acta endocrinologica (Bucharest, Romania : 2005)","Acta endocrinologica (Bucharest, Romania : 2005)"
journal_BMC ophthalmology,BMC ophthalmology
journal_Neuro-oncology practice,Neuro-oncology practice
"journal_Mitochondrial DNA. Part B, Resources","Mitochondrial DNA. Part B, Resources"
journal_Neuro-degenerative diseases,Neuro-degenerative diseases
journal_Physical chemistry chemical physics : PCCP,Physical chemistry chemical physics : PCCP
journal_Molecular ecology,Molecular ecology
journal_International journal of pharmaceutics,International journal of pharmaceutics
journal_Narra J,Narra J
journal_Naunyn-Schmiedeberg's archives of pharmacology,Naunyn-Schmiedeberg's archives of pharmacology
journal_Immunology,Immunology
journal_Chemical science,Chemical science
journal_Aging medicine (Milton (N.S.W)),Aging medicine (Milton (N.S.W))
journal_Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi
journal_Pathology international,Pathology international
journal_AoB PLANTS,AoB PLANTS
journal_Sustainability,Sustainability
journal_Pest management science,Pest management science
journal_World journal of surgical oncology,World journal of surgical oncology
journal_Current opinion in neurobiology,Current opinion in neurobiology
journal_Frontiers in systems biology,Frontiers in systems biology
journal_Indian journal of nephrology,Indian journal of nephrology
journal_Advanced biology,Advanced biology
journal_Genes & development,Genes & development
journal_Evolution letters,Evolution letters
journal_Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies
journal_Otolaryngologia polska = The Polish otolaryngology,Otolaryngologia polska = The Polish otolaryngology
journal_Surgical oncology clinics of North America,Surgical oncology clinics of North America
journal_Acta neuropathologica communications,Acta neuropathologica communications
journal_Revista medica de Chile,Revista medica de Chile
journal_Neurobiology of disease,Neurobiology of disease
"journal_Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica","Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica"
journal_Cell death & disease,Cell death & disease
journal_Advances in experimental medicine and biology,Advances in experimental medicine and biology
journal_JTCVS open,JTCVS open
journal_Toxins,Toxins
journal_Vavilovskii zhurnal genetiki i selektsii,Vavilovskii zhurnal genetiki i selektsii
journal_British journal of biomedical science,British journal of biomedical science
journal_Expert review of proteomics,Expert review of proteomics
journal_Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology
journal_Food chemistry,Food chemistry
journal_SSM - population health,SSM - population health
journal_Horticulture research,Horticulture research
journal_Molecules and cells,Molecules and cells
journal_Current genomics,Current genomics
journal_Nature computational science,Nature computational science
journal_The Journal of allergy and clinical immunology,The Journal of allergy and clinical immunology
journal_Fitoterapia,Fitoterapia
journal_Infection and drug resistance,Infection and drug resistance
journal_Lab on a chip,Lab on a chip
journal_Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society
"journal_Continence (Amsterdam, Netherlands)","Continence (Amsterdam, Netherlands)"
journal_OncoTargets and therapy,OncoTargets and therapy
journal_The Journal of cell biology,The Journal of cell biology
journal_Clinics in laboratory medicine,Clinics in laboratory medicine
journal_Medical science educator,Medical science educator
journal_Diabetology international,Diabetology international
journal_World journal of hepatology,World journal of hepatology
journal_Bio-protocol,Bio-protocol
journal_Journal of microbiology and biotechnology,Journal of microbiology and biotechnology
"journal_Journal of fungi (Basel, Switzerland)","Journal of fungi (Basel, Switzerland)"
journal_International journal of surgery case reports,International journal of surgery case reports
journal_Applied and environmental microbiology,Applied and environmental microbiology
journal_Advances in pharmacological and pharmaceutical sciences,Advances in pharmacological and pharmaceutical sciences
journal_Annals of gastroenterology,Annals of gastroenterology
journal_Journal of advanced research,Journal of advanced research
journal_The American journal of tropical medicine and hygiene,The American journal of tropical medicine and hygiene
journal_Nature reviews. Molecular cell biology,Nature reviews. Molecular cell biology
journal_Polish journal of veterinary sciences,Polish journal of veterinary sciences
journal_Journal of microbiology & biology education,Journal of microbiology & biology education
journal_Metabolic engineering,Metabolic engineering
journal_Seminars in reproductive medicine,Seminars in reproductive medicine
journal_Oncoimmunology,Oncoimmunology
journal_Frontiers in dental medicine,Frontiers in dental medicine
journal_Fertility and sterility,Fertility and sterility
journal_Genetics,Genetics
journal_Genes & diseases,Genes & diseases
journal_Therapeutic advances in musculoskeletal disease,Therapeutic advances in musculoskeletal disease
journal_Current opinion in cell biology,Current opinion in cell biology
journal_Mobile DNA,Mobile DNA
journal_Journal of lasers in medical sciences,Journal of lasers in medical sciences
journal_Acta parasitologica,Acta parasitologica
journal_Infectious medicine,Infectious medicine
journal_International journal of immunopathology and pharmacology,International journal of immunopathology and pharmacology
journal_ACS medicinal chemistry letters,ACS medicinal chemistry letters
"journal_Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases"
journal_... IEEE Workshop on Visual Analytics in Healthcare. IEEE Workshop on Visual Analytics in Healthcare,... IEEE Workshop on Visual Analytics in Healthcare. IEEE Workshop on Visual Analytics in Healthcare
journal_Annals of clinical and translational neurology,Annals of clinical and translational neurology
journal_Journal of the Royal Society of Medicine,Journal of the Royal Society of Medicine
journal_Advanced drug delivery reviews,Advanced drug delivery reviews
journal_Proteoglycan research,Proteoglycan research
journal_European radiology,European radiology
journal_Journal of oral and maxillofacial pathology : JOMFP,Journal of oral and maxillofacial pathology : JOMFP
journal_Neurology. Education,Neurology. Education
journal_Forensic science international. Genetics,Forensic science international. Genetics
journal_Archives of medical science : AMS,Archives of medical science : AMS
journal_Farmaceuticos comunitarios,Farmaceuticos comunitarios
journal_Annals of the Institute of Statistical Mathematics,Annals of the Institute of Statistical Mathematics
journal_Calcified tissue international,Calcified tissue international
journal_Journal of health monitoring,Journal of health monitoring
journal_Rinsho Biseibutsu Jinsoku Shindan Kenkyukai shi = JARMAM : Journal of the Association for Rapid Method and Automation in Microbiology,Rinsho Biseibutsu Jinsoku Shindan Kenkyukai shi = JARMAM : Journal of the Association for Rapid Method and Automation in Microbiology
journal_Pharmacology research & perspectives,Pharmacology research & perspectives
journal_Nature reviews. Gastroenterology & hepatology,Nature reviews. Gastroenterology & hepatology
journal_Journal of biogeography,Journal of biogeography
journal_Natural product research,Natural product research
journal_The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians
journal_International journal of trichology,International journal of trichology
journal_BioImpacts : BI,BioImpacts : BI
journal_Mycology,Mycology
journal_EXCLI journal,EXCLI journal
journal_Trends in parasitology,Trends in parasitology
journal_European heart journal. Cardiovascular Imaging,European heart journal. Cardiovascular Imaging
journal_BMC pregnancy and childbirth,BMC pregnancy and childbirth
journal_Biophysical chemistry,Biophysical chemistry
journal_Frontiers in bioengineering and biotechnology,Frontiers in bioengineering and biotechnology
journal_Transplantation and cellular therapy,Transplantation and cellular therapy
"journal_Gels (Basel, Switzerland)","Gels (Basel, Switzerland)"
journal_Clinical chemistry and laboratory medicine,Clinical chemistry and laboratory medicine
journal_Frontiers in neurology,Frontiers in neurology
journal_Npj mental health research,Npj mental health research
journal_Journal of colloid and interface science,Journal of colloid and interface science
journal_The South African journal of physiotherapy,The South African journal of physiotherapy
journal_Frontiers in microbiomes,Frontiers in microbiomes
journal_The Journal of international medical research,The Journal of international medical research
journal_Bioinformation,Bioinformation
journal_Journal of hazardous materials,Journal of hazardous materials
journal_Journal of molecular histology,Journal of molecular histology
journal_Trends in cognitive sciences,Trends in cognitive sciences
"journal_Cellular oncology (Dordrecht, Netherlands)","Cellular oncology (Dordrecht, Netherlands)"
"journal_Pharmacology, biochemistry, and behavior","Pharmacology, biochemistry, and behavior"
journal_BMC oral health,BMC oral health
journal_Toxicological sciences : an official journal of the Society of Toxicology,Toxicological sciences : an official journal of the Society of Toxicology
journal_Journal of arrhythmia,Journal of arrhythmia
journal_European journal of nuclear medicine and molecular imaging,European journal of nuclear medicine and molecular imaging
journal_FEBS letters,FEBS letters
journal_Clinical genitourinary cancer,Clinical genitourinary cancer
journal_PLoS computational biology,PLoS computational biology
journal_The Journal of molecular diagnostics : JMD,The Journal of molecular diagnostics : JMD
journal_Journal of neurochemistry,Journal of neurochemistry
"journal_Plants (Basel, Switzerland)","Plants (Basel, Switzerland)"
journal_Cardiology research and practice,Cardiology research and practice
journal_Environmental toxicology and pharmacology,Environmental toxicology and pharmacology
journal_Avian diseases,Avian diseases
journal_Current microbiology,Current microbiology
journal_Current opinion in microbiology,Current opinion in microbiology
journal_TheScientificWorldJournal,TheScientificWorldJournal
journal_Gut microbes,Gut microbes
journal_Terapevticheskii arkhiv,Terapevticheskii arkhiv
journal_Metabolomics : Official journal of the Metabolomic Society,Metabolomics : Official journal of the Metabolomic Society
journal_Environmental science & technology,Environmental science & technology
journal_American journal of stem cells,American journal of stem cells
journal_Journal of fish diseases,Journal of fish diseases
journal_Applied microbiology and biotechnology,Applied microbiology and biotechnology
journal_Scientifica,Scientifica
journal_Journal of pharmaceutical and biomedical analysis,Journal of pharmaceutical and biomedical analysis
journal_Microbiology spectrum,Microbiology spectrum
journal_Journal of advanced veterinary and animal research,Journal of advanced veterinary and animal research
journal_Journal of biochemical and molecular toxicology,Journal of biochemical and molecular toxicology
journal_Gynecologic and obstetric investigation,Gynecologic and obstetric investigation
journal_ACS applied materials & interfaces,ACS applied materials & interfaces
journal_Mutagenesis,Mutagenesis
"journal_Iranian journal of allergy, asthma, and immunology","Iranian journal of allergy, asthma, and immunology"
journal_Genome research,Genome research
journal_Gut pathogens,Gut pathogens
journal_Journal of virological methods,Journal of virological methods
journal_Bioconjugate chemistry,Bioconjugate chemistry
journal_ACS chemical biology,ACS chemical biology
journal_Pathology,Pathology
journal_Wei sheng yan jiu = Journal of hygiene research,Wei sheng yan jiu = Journal of hygiene research
journal_Case reports in oncology,Case reports in oncology
journal_Journal of psychosomatic obstetrics and gynaecology,Journal of psychosomatic obstetrics and gynaecology
journal_American journal of cancer research,American journal of cancer research
journal_Neuron,Neuron
journal_Current opinion in genetics & development,Current opinion in genetics & development
journal_Turkish journal of biology = Turk biyoloji dergisi,Turkish journal of biology = Turk biyoloji dergisi
journal_Early human development,Early human development
"journal_Journal of health, population, and nutrition","Journal of health, population, and nutrition"
journal_Journal of thoracic disease,Journal of thoracic disease
journal_European journal of medical research,European journal of medical research
journal_Journal of mechanisms and robotics,Journal of mechanisms and robotics
journal_European journal of nutrition,European journal of nutrition
journal_Journal of the Association for Research in Otolaryngology : JARO,Journal of the Association for Research in Otolaryngology : JARO
journal_Frontiers in behavioral neuroscience,Frontiers in behavioral neuroscience
journal_Iranian journal of pathology,Iranian journal of pathology
journal_Magyar onkologia,Magyar onkologia
journal_Genome,Genome
journal_NPJ vaccines,NPJ vaccines
journal_Microbial cell factories,Microbial cell factories
"journal_Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis","Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis"
journal_Saudi journal of biological sciences,Saudi journal of biological sciences
journal_Journal of lipid and atherosclerosis,Journal of lipid and atherosclerosis
journal_Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology
journal_Data in brief,Data in brief
journal_ACS synthetic biology,ACS synthetic biology
journal_Expert opinion on drug safety,Expert opinion on drug safety
journal_Global implementation research and applications,Global implementation research and applications
journal_Biochemical Society transactions,Biochemical Society transactions
journal_Journal of the American Statistical Association,Journal of the American Statistical Association
journal_Standards in genomic sciences,Standards in genomic sciences
journal_Sexual and reproductive health matters,Sexual and reproductive health matters
journal_European heart journal,European heart journal
journal_International journal of obesity (2005),International journal of obesity (2005)
journal_Spinal cord,Spinal cord
journal_JNMA; journal of the Nepal Medical Association,JNMA; journal of the Nepal Medical Association
journal_Current opinion in biotechnology,Current opinion in biotechnology
journal_Drug discovery today,Drug discovery today
journal_Behavior therapy,Behavior therapy
journal_Advanced pharmaceutical bulletin,Advanced pharmaceutical bulletin
journal_International journal of endocrinology and metabolism,International journal of endocrinology and metabolism
journal_Journal of cardiovascular development and disease,Journal of cardiovascular development and disease
journal_European journal of pediatrics,European journal of pediatrics
"journal_Chemistry (Weinheim an der Bergstrasse, Germany)","Chemistry (Weinheim an der Bergstrasse, Germany)"
journal_United European gastroenterology journal,United European gastroenterology journal
journal_Tropical animal health and production,Tropical animal health and production
journal_Nanoscale,Nanoscale
journal_The ocular surface,The ocular surface
journal_Acute and critical care,Acute and critical care
journal_Neurogastroenterology and motility,Neurogastroenterology and motility
journal_AIMS neuroscience,AIMS neuroscience
journal_Anesthesiology clinics,Anesthesiology clinics
"journal_Clinical science (London, England : 1979)","Clinical science (London, England : 1979)"
journal_ACS materials Au,ACS materials Au
journal_Molecular oncology,Molecular oncology
journal_Tropical medicine and infectious disease,Tropical medicine and infectious disease
journal_Acta histochemica,Acta histochemica
journal_Toxics,Toxics
journal_Langmuir : the ACS journal of surfaces and colloids,Langmuir : the ACS journal of surfaces and colloids
journal_Toxicology reports,Toxicology reports
"journal_Advanced materials (Deerfield Beach, Fla.)","Advanced materials (Deerfield Beach, Fla.)"
journal_Cellular and molecular life sciences : CMLS,Cellular and molecular life sciences : CMLS
journal_Pathogens & immunity,Pathogens & immunity
